youtube_id,second_no,fps,frame_no,class,xmin,xmax,ymin,ymax
AAB6lO-XiKE,0.0,30,0,person,0.48200000000000004,0.54,0.37166667,0.6166666999999999
AAB6lO-XiKE,1.0,30,30,person,0.514,0.588,0.36333334,0.6066666999999999
AAB6lO-XiKE,2.0,30,60,person,0.534,0.614,0.44333333,0.685
AAB6lO-XiKE,3.0,30,90,person,0.515,0.605,0.44833332,0.68666667
AAB6lO-XiKE,4.0,30,120,person,0.55,0.6,0.4,0.6383333000000001
AAB6lO-XiKE,5.0,30,150,person,0.539,0.607,0.36,0.6066666999999999
AAB6lO-XiKE,6.0,30,180,person,0.55,0.593,0.355,0.595
AAB6lO-XiKE,7.0,30,210,person,0.584,0.627,0.33166668,0.5783333
AAB6lO-XiKE,8.0,30,240,person,0.618,0.659,0.25166667,0.49166667
AAB6lO-XiKE,9.0,30,270,person,0.643,0.6890000000000001,0.22833334,0.475
AAB6lO-XiKE,10.0,30,300,person,0.655,0.7,0.24166666,0.485
AAB6lO-XiKE,11.0,30,330,person,0.642,0.706,0.375,0.6166666999999999
AAB6lO-XiKE,12.0,30,360,person,0.664,0.711,0.36666667,0.61
AAB6lO-XiKE,13.0,30,390,person,0.6709999999999999,0.7170000000000001,0.31,0.54
AAB6lO-XiKE,14.0,30,420,person,0.652,0.698,0.27833334,0.50666666
AAB6lO-XiKE,15.0,30,450,person,0.6559999999999999,0.711,0.29333332,0.5283333
AAB6lO-XiKE,16.0,30,480,person,0.635,0.691,0.28666666,0.525
AAB6lO-XiKE,17.0,30,510,person,0.623,0.6779999999999999,0.28166667,0.5133333
AAB6lO-XiKE,18.0,30,540,person,0.621,0.675,0.295,0.52666664
AACM71csS-Q,0.0,30,0,person,0.5589999999999999,0.7709999999999999,0.18666667,1.0
AACM71csS-Q,1.0,30,30,person,0.556,0.773,0.14,1.0
AACM71csS-Q,2.0,30,60,person,0.58,0.787,0.13166666,1.0
AACM71csS-Q,3.0,30,90,person,0.5579999999999999,0.77,0.19333333,1.0
AACM71csS-Q,4.0,30,120,person,0.552,0.777,0.16666667,1.0
AACM71csS-Q,5.0,30,150,person,0.5920000000000001,0.81,0.17666666,1.0
AACM71csS-Q,6.0,30,180,person,0.34600000000000003,0.5710000000000001,0.23833333,1.0
AACM71csS-Q,7.0,30,210,person,0.207,0.449,0.21,1.0
